entity_id,entity_type,category_h1,genre_h2,form_h3,subform_h4,label,description,see,see_also,year_derived,date_derived,person_derived
LOC1056950,place,STED-REGISTER,City,,,Lemvig,Danmark,,,,,
LOC1057000,place,STED-REGISTER,City,,,Lenz,Schweiz,,,,,
LOC1057050,place,STED-REGISTER,Mountain,,,Leopoldsberg,Østrig,,,,,
LOC1057100,place,STED-REGISTER,Property,,,Lerchenborg,Danmark,,,,,
LOC1057150,place,STED-REGISTER,Property,,,Lethraborg,Danmark,,,,,
LOC1057200,place,STED-REGISTER,City,,,Levane,Italien,,,,,
LOC1057250,place,STED-REGISTER,Country,,,Libanon,Libanon,,,,,
LOC1057300,place,STED-REGISTER,Region,,,Liben,Tjekkiet,,,,,
LOC1057350,place,STED-REGISTER,City,,,Lidköping,Sverige,,,,,
LOC1057400,place,STED-REGISTER,City,,,"Liebenwerda, Bad",Tyskland,,,,,
LOC1057450,place,STED-REGISTER,Mountain,,,Liebethaler Grund,Tyskland,,,,,
LOC1057500,place,STED-REGISTER,Region,,,Lifland,Estland,,,,,
LOC1057550,place,STED-REGISTER,Mountain,,,Lilienstein,Tyskland,,,,,
LOC1057600,place,STED-REGISTER,City,,,Lilla Edet,Sverige,,,,,
LOC1057650,place,STED-REGISTER,City,,,Lille,Frankrig,,,,,
LOC1057700,place,STED-REGISTER,Point of interest (POI),,,Lille Odinshøi,Danmark,,,,,
LOC1057750,place,STED-REGISTER,Sea,,,Lillebelt,Danmark,,,,,
LOC1057800,place,STED-REGISTER,City,,,Lillestrøm,Norge,,,,,
LOC1057850,place,STED-REGISTER,Property,,,Lilliendal,Danmark,,,,,
LOC1057900,place,STED-REGISTER,Sea,,,Limfjorden,Danmark,,,,,
LOC1057950,place,STED-REGISTER,Point of interest (POI),,,Limsta,Sverige,,,,,
LOC1058000,place,STED-REGISTER,City,,,Lindau im Bodensee,Tyskland,,,,,
LOC1058050,place,STED-REGISTER,City,,,Lingen,Tyskland,,,,,
LOC1058100,place,STED-REGISTER,City,,,Linköping,Sverige,,,,,
LOC1058150,place,STED-REGISTER,River,,,Linth-Kanalen,Schweiz,,,,,
LOC1058200,place,STED-REGISTER,City,,,Linz,Østrig,,,,,
LOC1058250,place,STED-REGISTER,Island,,,"Lipariske Øer, de",Italien,,,,,
LOC1058300,place,STED-REGISTER,Region,,,Lippe-Detmold,Tyskland,,,,,
LOC1058350,place,STED-REGISTER,River,,,Liro,Italien,,,,,
LOC1058400,place,STED-REGISTER,City,,,Lissabon,Portugal,,,,,
LOC1058450,place,STED-REGISTER,City,,,Liverpool,England,,,,,
LOC1058500,place,STED-REGISTER,City,,,Livorno,Italien,,,,,
LOC1058550,place,STED-REGISTER,City,,,Ljung,Sverige,,,,,
LOC1058600,place,STED-REGISTER,Region,,,lnversnaid,Skotland,,,,,
LOC1058650,place,STED-REGISTER,City,,,Lobositz,Tjekkiet,,,,,
LOC1058700,place,STED-REGISTER,Lake,,,Loch Katrine,Skotland,,,,,
LOC1058750,place,STED-REGISTER,Lake,,,Loch Laggan,Skotland,,,,,
LOC1058800,place,STED-REGISTER,Lake,,,Loch Lomond,Skotland,,,,,
LOC1058850,place,STED-REGISTER,City,,,"Locle, Le",Schweiz,,,,,
LOC1058900,place,STED-REGISTER,City,,,Lohmen,Tyskland,,,,,
LOC1058950,place,STED-REGISTER,City,,,Loiano,Italien,,,,,
LOC1059000,place,STED-REGISTER,River,,,Loire,Frankrig,,,,,
LOC1059050,place,STED-REGISTER,River,,,Loisach,Tyskland,,,,,
LOC1059100,place,STED-REGISTER,City,,,Loja,Spanien,,,,,
LOC1059150,place,STED-REGISTER,Island,,,Lolland,Danmark,,,,,
