v094_id,legacy_id,entity_type,label,resolves
WOR015050,Reg001065,work,En Bouquet (den 23. August 1842) (Til Ingeborg Drewsen),yes
WOR015100,Reg000387,work,Brev til Christian Winther,yes
WOR015150,Reg000023,work,*»Bring Hilsen fra den danske Strand -« (Ven med en Buket til Johanne Melchior 11.7.1868),yes
WOR015200,Reg003600,work,"»Brødre, meget langt herfra -« (Festen paa Kenilworth)",yes
WOR015250,Reg000424,work,"Bøn (»Han, som i Stormen er vor faste Borg -«)",yes
WOR015300,Reg000430,work,Børnenes Skaal. Ved Moritz og Dorothea Melchiors Sølvbryllup den 17. Juni 1871,yes
WOR015350,Reg000442,work,Cantate til Fru Dorothea Melchior den 16. Februar 1871. Musik af J. Ad. Hägg,yes
WOR015400,Reg003537,work,[Cotillon-Vers til et Bal hos Fru Elisabeth Zahrtmann],yes
WOR015450,Reg003535,work,[Cotillon-Vers til Grevinde Mimi Holsteins Bal 19.3.1871],yes
WOR015500,Reg003536,work,[Cotillon-Vers til Rigmor og Astrid Stampes Bal 2.3.1872],yes
WOR015550,Reg000017,work,*[Cotillon-Vers til Ballet paa Bregentved 23.7.1874],yes
WOR015600,Reg000024,work,*»Da Skotlands Skjalde deres Sange skrev -« (Til Miss Ross 18.8.1847),yes
WOR015650,Reg003600,work,"»Dandse, dandse Dukke min!«",yes
WOR015700,Reg000571,work,Danmark. (»Endnu er ei Danmark en Kæmpegrav -«),yes
WOR015750,Reg000025,work,*»Danmark kommer Bouketten fra -« (I Spanien). (Til Louise og Alice Hay 5.11.1862),yes
WOR015800,Reg003603,work,"»Danmark, mit Fædreland!« (»I Danmark er jeg født -«)",yes
WOR015850,Reg000584,work,Danske Poeter i Bouquet,yes
WOR015900,Reg003605,work,»De dandse med Castagnetter -« (I Spanien),yes
WOR015950,Reg003606,work,»De fattige Blomster drømte i Nat -« (Med en Bouquet Violer til en Veninde),yes
WOR016000,Reg000026,work,*»De gav mig et Hjem med Solskin rigt -« (Paa et Portrætkort. 11.12.1867 til Bispinde Engelstoft),yes
WOR016050,Reg000027,work,*»De vær saa god og sid op i min Vogn-« (Til Landshøvding R. F. von Kræmer 1.7.1849),yes
WOR016100,Reg003611,work,»Den danske Bonde bad -« (af: Sørge-Cantate over Høisalig Kong Frederik den Sjette),yes
WOR016150,Reg000028,work,*»Den første Bouquet Fritze-Vanda modtog -« (Til Fritze Wanda Holstein 29.5. 1874),yes
WOR016200,Reg000029,work,"*»Den kjære lille Prinds Valdemar -« (Dedikation i Nye Eventyr og Historier, 2. Række)",yes
WOR016250,Reg000030,work,*»Der er en sød Musik i Hjemmets Sprog -« (I en norsk Boghandler i Basels Stambog 21.9.1860),yes
WOR016300,Reg003616,work,"»Der var en Fyrste i Grækenland -« (Digtet om Hesten: Mulatten, 5. Akt, 7. Scene)",yes
WOR016350,Reg000837,work,Deres Kongelige Høiheder Kronprinds Frederik og Prindsesse Lovisa. Formælingsdagen den 28de Juli 1869.,yes
WOR016400,Reg000032,work,*»Det første er Klangen af et Smiil -« (Charade),yes
WOR016450,Reg000031,work,*»Det Første har paa Tydsk lidt af Mimosa-« (Charade),yes
WOR016500,Reg003618,work,»Det har Zombien gjort«,yes
WOR016550,Reg003619,work,»Det nye Aar kommer susende -«,yes
WOR016600,Reg003538,work,[Deviser til Julegaver],yes
WOR016650,Reg003539,work,[Dialog mellem det gamle og det nye Aar. Basnæs 31.12.1865],yes
WOR016700,Reg003540,work,[Digt fremsagt 12.3.1865 af Anna Henriques til hendes Bedstemoder Fru Rose Eibeschütz],yes
WOR016750,Reg003541,work,[Digt i Fru Sofie Groves Stambog 17.7.1871],yes
WOR016800,Reg003542,work,[Digt oplæst ved Michael Rosings Bryllup 1.8.1863],yes
WOR016850,Reg003543,work,[Digt til Fru Dorothea Melchior 16.2.1872 om Cantaten til hende forrige Aar],yes
WOR016900,Reg000941,work,Digte fra Spanien (Ill. Tidende 5.4.1863),yes
