surname_norm	status	min_entry_id	min_surname	min_given_names	min_birth_year	min_death_year	min_description	min_references	xlsx_surname	xlsx_given_names	xlsx_birth_year	xlsx_death_year	xlsx_description
ainsworth	kun_min	PerXI00100	Ainsworth	William Francis	1807	1896	engelsk Læge, Geolog og Opdagelsesrejsende.	II:211;II:212;II:218;II:219;II:220;II:221;II:222;II:223;II:224;II:225					
albeck	kun_min	PerXI00107	Albeck	Hans	1832	1918	Broder til Carl A., Grosserer, senere Etatsraad.	X:121;X:122					
albeck	kun_min	PerXI00108	Albeck	Jacobine, f. Holm	1839	1887	g. 1861 m. Hans A.	V:121;V:122					
alrnlof	kun_min	PerXI00139	Alrnlôf	Nils Vilhelm	1799	1875	Skuespiller ved Det kgl. Teater i Stockholm.	III:314					
aman	kun_min	PerXI00010	Åman	Johan August	1790	1853	Stadslæge i Linkoping, dr.med., 1826 tit. Professor.	III:349;III:350					
ameen	kun_min	PerXI00153	Ameen	Georg F.	1811	1898	Postdirektør i Goteborg, Oversætter af »Billedbog uden Billeder«.	IX:109;IX:110					
arenberg	kun_min	PerXI00247	Arenberg	Charles, Prins af —	1831	1896	østrigsk Dragonløjtnant.	IV:207;IV:208					
arnaud	kun_min	PerXI00267	Arnaud	H., se: Reybaud. Fanny. Arndt, Ernst Moritz	1769	1860	tysk Digter.	II:313;II:372;II:373					
arnesen kali	kun_min	PerXI00271	Arnesen Kali	Benedicte	1813	1895	Forfatterinde og Oversætter.	VIII:447;VIII:449;X:390;X:433;X:434					
arrikiel	kun_min	PerXI00275	Arrikiel	Hans Michael	1785	1858	Forpagter af Postekspeditionen i Gaabense, 1852 Postekspeditør.	III:428					
asbjørnsen	kun_min	PerXI00282	Asbjørnsen	P. C.	1812	1885	norsk Eventyrsamler og Forfatter.	VI:323;IX:177;X:10;X:167					
augustenborg	kun_min	PerXI00307	Augustenborg	Prinsesserne af Slesvig- Holsten-Sønderborg, Døtre af Prins Emil af A. (Charlotte	1803	1880	Pauline (1804-87), Amalie (1813-70), Sophie (1815-61)).	II:407;III:64;III:65					
augustenborg	kun_min	PerXI00308	Augustenborg	Carl August, Prins af Slesvig-Holsten-Sønderborg-	1768	1810	General, Statholder i Norge, svensk Tronfølger 1809.	III:339;III:340					
augustenborg	matchet_person_men_beskrivelse_afviger	PerXI00311	Augustenborg	Christian August, Hertug af Slesvig-Holsten-Sønderborg-	1798	1869	Søn af Frederik Christian af A., Hertug 1814-63.	II:273;II:276;II:277;II:278;II:436;II:437;II:438;II:439;II:440;II:441;II:444;II:446;II:447;II:448;III:6;III:7;III:8;III:9;III:10;III:175;III:288;III:407;X:316;X:478	Augustenborg	Christian August, Hertug af Slesvig-Holsten-Sønderborg-	1798	1869	Søn af Frederik Christian af A., Hertug 1814–1863.
augustenborg	kun_xlsx								Augustenborg	Prinsesserne af Slesvig-Holsten-Sønderborg			Døtre af Prins Emil af A. (Charlotte (1803–1880), Pauline (1804–1887), Amalie (1813–1870), Sophie (1815–1861)).
avisard	kun_min	PerXI00326	Avisard	Sougey, »en Ven af Bindesbøll«, Berlin 28.12.1845. III 35. B. Baade, Knud	1808	1879	norsk Maler, München 1852.	IV:105					
avisard	kun_xlsx								Avisard	Sougey			»en Ven af Bindesbøll«, Berlin 28.12.1845.
b6tzaris	kun_min	PerXI01013	B6tzaris	Marko	1788	1823	græsk Frihedskæmper.	II:168					
baagøe	kun_min	PerXI00327	Baagøe	Johannes Schønberg	1798	1837	Indehaver af Svaneapoteket i København.	I:62;I:63					
baagøe	kun_min	PerXI00329	Baagøe	V. C. A.	1813	1893	Grosserer.	VIII:81;VIII:82					
bailac	kun_min	PerXI00368	Bailac	J., dansk Vicekonsul i Bayonne. V 332. Bajazet (Bajazid) I	1347	1403	tyrkisk Sultan 1389-1402.	II:215					
bailac	kun_xlsx								Bailac	J.			Dansk Vicekonsul i Bayonne.
baker	kun_min	PerXI00369	Baker				Lady Florence, f. von Saas, g. 1860 m. Samuel B.	VII:270;VII:271					
baker	kun_min	PerXI00370	Baker	Sir Samuel White	1821	1893	engelsk Opdagelsesrejsende.	VII:270;VII:271					
ballin	matchet_person_men_beskrivelse_afviger	PerXI00384	Ballin	Clara	1824	1887	HCA.s Værtinde i Nyhavn Nr. 18 1873-75.	X:44;X:45;X:125;X:141;X:142;X:147;X:148;X:149;X:150;X:151;X:152;X:156;X:157;X:161;X:163;X:169;X:174;X:192;X:204;X:205;X:206;X:211;X:212;X:216;X:224;X:232;X:248;X:256;X:257;X:259;X:260;X:263;X:273;X:274;X:275;X:278;X:279;X:299;X:300;X:301;X:312;X:323;X:325;X:378;X:383;X:392;X:393;X:394;X:408;X:409;X:410;X:411;X:426;X:433;X:444;X:447;X:451;X:453;X:456;X:458;X:460;X:465	Ballin	Clara	1824	1887	H.C. Andersens Værtinde i Nyhavn Nr. 18 1873–1875.
ballin	kun_min	PerXI00385	Ballin	Rosa	1826		Søster til Caroline og Clara B., Göteborg 1874.	X:279					
ballin	kun_min	PerXI00386	Ballin	Samuel	1802	1866	Læge, senere Distriktslæge i København, 1860 tit. Professor.	I:475;I:476					
ballin	kun_xlsx								Ballin	Caroline	1838	1901	Søster til Clara B.
ballin	kun_xlsx								Ballin	Rosa	1826		Søster til Caroline og Clara B., Goteborg 1874.
banck	kun_min	PerXI00391	Banck	Johan Erich	1833	1902	hollandsk Jurist og Digter.	VII:62;VII:63					
bang	matchet_person_men_beskrivelse_afviger	PerXI00393	Bang				Frøken, Logerende hos Frk. Hallager 1873.	X:12;X:41;X:43;X:61	Bang	Frøken			Logerende hos Frk. Hallager 1873.
bang	kun_min	PerXI00394	Bang				Kandidat, Søllerød 14.8.1865.	VI:266					
bang	kun_min	PerXI00395	Bang	de, Frøken (enten Henriette Marie	1809	1855	eller Augusta Christine (1805-87)), Kusine til Fritz von Eggers.	II:260					
bang	kun_min	PerXI00398	Bang				Caroline Amalie, f. Ibsen (IBIS- OS), g. 1842 m. F. S. B.	III:207					
bang	kun_min	PerXI00399	Bang				Chr. Asmus (død 1888, 62 Aar gl.), Skibsfører.	VII:109					
bang	matchet_person_men_beskrivelse_afviger	PerXI00400	Bang	Claus Chr.	1778	1855	Kontorchef ved Provideringskommissionen, Kammerraad, 1823-37 Ejer af Nørager, derefter af Hummeltofte ved Frederiksdal.	III:298	Bang	Claus Chr.	1778	1855	Kontorchef ved Provideringskommissionen, Kammerraad, 1823–1837 Ejer af Nørager, derefter af Hummel tofte ved Frederiksdal.
