entity_id,label,matched_form,nationality_key,nationality_label,category,position_index,position_type,match_type,referent_hint,description
Reg0112400,"Schley, Ludolph (1798–1859)",tysk,tysk,Tysk,national,7,embedded,single,unclear,"Svensk Konsulatssekretær i Libau, 1845 svensknorsk Konsul sst., tysk Forfatter og Oversætter."
Reg0112410,"Schlicht, Carl von (1833–1912)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Landskabs- og Marinemaler.
Reg0112420,"Schlichten, J. P. von der (1681–1745)",hollandsk-tysk (part: hollandsk),hollandsk,Hollandsk,national,0,leading,hyphen_compound,subject,hollandsk-tysk Maler.
Reg0112420,"Schlichten, J. P. von der (1681–1745)",hollandsk-tysk (part: tysk),tysk,Tysk,national,0,leading,hyphen_compound,subject,hollandsk-tysk Maler.
Reg0112460,"Schlick, Gustav (1804–1869)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Tegner og Illustrator.
Reg0112470,"Schloming, Julius og Henry",polske,polsk,Polsk,national,0,leading,single,subject,"polske Violinvirtuoser, Odense og København December 1867."
Reg0112480,"Schlotthauer, Joseph (1789–1869)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Maler og Litograf.
Reg0112490,"Schlönbach, Arnold (1807–1866)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Digter.
Reg0112500,"Schlönbach, Auguste, f. Schröder",Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Skuespillerinde, g. 1° Gerlach, 2° 1855 m. Arnold S.; hun var Søster til Wilhelmine Schröder-Devrient."
Reg0112510,"Schmaltz, Lorentz von (1835–1906)",Svensk,svensk,Svensk,national,0,leading,single,subject,"Svensk Frivillig, Sekondløjtnant 1864, senere Kontorassistent ved de svenske Statsbaner."
